Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",140.550000,-108.350000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",141.900000,-112.000000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",140.549999,-110.100000,-90.000000,top
"C6","100nF","C_0402_1005Metric",144.500000,-106.750000,-90.000000,top
"C8","100nF","C_0402_1005Metric",145.650000,-111.137500,0.000000,top
"C9","1uF","R_0402_1005Metric",141.400000,-107.000000,180.000000,top
"C11","1uF","R_0402_1005Metric",141.400000,-106.099999,180.000000,top
"C13","10uF","C_0402_1005Metric",143.187500,-106.077500,0.000000,top
"R1","10K","R_0402_1005Metric",146.350000,-107.500000,0.000000,top
"R2","10K","R_0402_1005Metric",145.900000,-106.550000,0.000000,top
"U1","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",142.900000,-109.649999,-90.000000,top
"U3","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",146.100000,-109.400000,0.000000,top
"U4","TLV74018PDQNR","UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm",143.127500,-107.052500,0.000000,top
